image_path,label_path,split,status
images/sample_001.jpg,labels/sample_001.txt,train,processed
images/sample_002.jpg,labels/sample_002.txt,train,processed
images/sample_003.jpg,labels/sample_003.txt,train,processed
images/sample_004.jpg,labels/sample_004.txt,train,processed
images/sample_005.jpg,labels/sample_005.txt,train,processed
images/sample_006.jpg,labels/sample_006.txt,train,processed
images/sample_007.jpg,labels/sample_007.txt,train,processed
images/sample_008.jpg,labels/sample_008.txt,train,processed
images/sample_009.jpg,labels/sample_009.txt,train,processed
images/sample_010.jpg,labels/sample_010.txt,train,processed
images/sample_011.jpg,labels/sample_011.txt,train,processed
images/sample_012.jpg,labels/sample_012.txt,train,processed
images/sample_013.jpg,labels/sample_013.txt,train,processed
images/sample_014.jpg,labels/sample_014.txt,train,processed
images/sample_015.jpg,labels/sample_015.txt,train,processed
images/sample_016.jpg,labels/sample_016.txt,train,processed
images/sample_017.jpg,labels/sample_017.txt,train,processed
images/sample_018.jpg,labels/sample_018.txt,train,processed
images/sample_019.jpg,labels/sample_019.txt,train,processed
images/sample_020.jpg,labels/sample_020.txt,train,processed
images/sample_021.jpg,labels/sample_021.txt,train,processed
images/sample_022.jpg,labels/sample_022.txt,train,processed
images/sample_023.jpg,labels/sample_023.txt,train,processed
images/sample_024.jpg,labels/sample_024.txt,train,processed
images/sample_025.jpg,labels/sample_025.txt,train,processed
images/sample_026.jpg,labels/sample_026.txt,train,processed
images/sample_027.jpg,labels/sample_027.txt,train,processed
images/sample_028.jpg,labels/sample_028.txt,train,processed
images/sample_029.jpg,labels/sample_029.txt,train,processed
images/sample_030.jpg,labels/sample_030.txt,train,processed
images/sample_031.jpg,labels/sample_031.txt,train,processed
images/sample_032.jpg,labels/sample_032.txt,train,processed
images/sample_033.jpg,labels/sample_033.txt,train,processed
images/sample_034.jpg,labels/sample_034.txt,train,processed
images/sample_035.jpg,labels/sample_035.txt,train,processed
images/sample_036.jpg,labels/sample_036.txt,train,processed
images/sample_037.jpg,labels/sample_037.txt,train,processed
images/sample_038.jpg,labels/sample_038.txt,train,processed
images/sample_039.jpg,labels/sample_039.txt,train,processed
images/sample_040.jpg,labels/sample_040.txt,train,processed
images/sample_041.jpg,labels/sample_041.txt,train,processed
images/sample_042.jpg,labels/sample_042.txt,train,processed
images/sample_043.jpg,labels/sample_043.txt,train,processed
images/sample_044.jpg,labels/sample_044.txt,train,processed
images/sample_045.jpg,labels/sample_045.txt,train,processed
images/sample_046.jpg,labels/sample_046.txt,train,processed
images/sample_047.jpg,labels/sample_047.txt,train,processed
images/sample_048.jpg,labels/sample_048.txt,train,processed
images/sample_049.jpg,labels/sample_049.txt,train,processed
images/sample_050.jpg,labels/sample_050.txt,train,processed
images/sample_051.jpg,labels/sample_051.txt,train,processed
images/sample_052.jpg,labels/sample_052.txt,train,processed
images/sample_053.jpg,labels/sample_053.txt,train,processed
images/sample_054.jpg,labels/sample_054.txt,train,processed
images/sample_055.jpg,labels/sample_055.txt,train,processed
images/sample_056.jpg,labels/sample_056.txt,train,processed
images/sample_057.jpg,labels/sample_057.txt,train,processed
images/sample_058.jpg,labels/sample_058.txt,train,processed
images/sample_059.jpg,labels/sample_059.txt,train,processed
images/sample_060.jpg,labels/sample_060.txt,train,processed
images/sample_061.jpg,labels/sample_061.txt,train,processed
images/sample_062.jpg,labels/sample_062.txt,train,processed
images/sample_063.jpg,labels/sample_063.txt,train,processed
images/sample_064.jpg,labels/sample_064.txt,train,processed
images/sample_065.jpg,labels/sample_065.txt,train,processed
images/sample_066.jpg,labels/sample_066.txt,train,processed
images/sample_067.jpg,labels/sample_067.txt,train,processed
images/sample_068.jpg,labels/sample_068.txt,train,processed
images/sample_069.jpg,labels/sample_069.txt,train,processed
images/sample_070.jpg,labels/sample_070.txt,train,processed
images/sample_071.jpg,labels/sample_071.txt,val,processed
images/sample_072.jpg,labels/sample_072.txt,val,processed
images/sample_073.jpg,labels/sample_073.txt,val,processed
images/sample_074.jpg,labels/sample_074.txt,val,processed
images/sample_075.jpg,labels/sample_075.txt,val,processed
images/sample_076.jpg,labels/sample_076.txt,val,processed
images/sample_077.jpg,labels/sample_077.txt,val,processed
images/sample_078.jpg,labels/sample_078.txt,val,processed
images/sample_079.jpg,labels/sample_079.txt,val,processed
images/sample_080.jpg,labels/sample_080.txt,val,processed
images/sample_081.jpg,labels/sample_081.txt,val,processed
images/sample_082.jpg,labels/sample_082.txt,val,processed
images/sample_083.jpg,labels/sample_083.txt,val,processed
images/sample_084.jpg,labels/sample_084.txt,val,processed
images/sample_085.jpg,labels/sample_085.txt,val,processed
images/sample_086.jpg,labels/sample_086.txt,val,processed
images/sample_087.jpg,labels/sample_087.txt,val,processed
images/sample_088.jpg,labels/sample_088.txt,val,processed
images/sample_089.jpg,labels/sample_089.txt,val,processed
images/sample_090.jpg,labels/sample_090.txt,val,processed
images/sample_091.jpg,labels/sample_091.txt,test,processed
images/sample_092.jpg,labels/sample_092.txt,test,processed
images/sample_093.jpg,labels/sample_093.txt,test,processed
images/sample_094.jpg,labels/sample_094.txt,test,processed
images/sample_095.jpg,labels/sample_095.txt,test,processed
images/sample_096.jpg,labels/sample_096.txt,test,processed
images/sample_097.jpg,labels/sample_097.txt,test,processed
images/sample_098.jpg,labels/sample_098.txt,test,processed
images/sample_099.jpg,labels/sample_099.txt,test,processed
images/sample_100.jpg,labels/sample_100.txt,test,processed
